evt,height,percent
Northern Hardwoods Forest,0,0
Northern Hardwoods Forest,1,0
Northern Hardwoods Forest,2,0
Northern Hardwoods Forest,3,0
Northern Hardwoods Forest,4,0
Northern Hardwoods Forest,5,0.000333901
Northern Hardwoods Forest,6,0.000534242
Northern Hardwoods Forest,7,0.001068484
Northern Hardwoods Forest,8,0.00554276
Northern Hardwoods Forest,9,0.017095741
Northern Hardwoods Forest,10,0.048482452
Northern Hardwoods Forest,11,0.108718227
Northern Hardwoods Forest,12,0.225383302
Northern Hardwoods Forest,13,0.433670863
Northern Hardwoods Forest,14,0.784467451
Northern Hardwoods Forest,15,1.449865738
Northern Hardwoods Forest,16,3.085246977
Northern Hardwoods Forest,17,7.047251693
Northern Hardwoods Forest,18,14.24576062
Northern Hardwoods Forest,19,19.90571966
Northern Hardwoods Forest,20,18.39508391
Northern Hardwoods Forest,21,14.59649043
Northern Hardwoods Forest,22,10.39921894
Northern Hardwoods Forest,23,5.935293957
Northern Hardwoods Forest,24,3.314770653
Northern Hardwoods Forest,25,0
Pine-Hemlock-Hardwood Forest,0,0
Pine-Hemlock-Hardwood Forest,1,0
Pine-Hemlock-Hardwood Forest,2,0
Pine-Hemlock-Hardwood Forest,3,0
Pine-Hemlock-Hardwood Forest,4,0
Pine-Hemlock-Hardwood Forest,5,0.000387619
Pine-Hemlock-Hardwood Forest,6,0.000775239
Pine-Hemlock-Hardwood Forest,7,0.001162858
Pine-Hemlock-Hardwood Forest,8,0.014729539
Pine-Hemlock-Hardwood Forest,9,0.035273369
Pine-Hemlock-Hardwood Forest,10,0.088764851
Pine-Hemlock-Hardwood Forest,11,0.205050681
Pine-Hemlock-Hardwood Forest,12,0.482198577
Pine-Hemlock-Hardwood Forest,13,0.99501909
Pine-Hemlock-Hardwood Forest,14,2.089656375
Pine-Hemlock-Hardwood Forest,15,5.089830804
Pine-Hemlock-Hardwood Forest,16,11.10607206
Pine-Hemlock-Hardwood Forest,17,19.57245576
Pine-Hemlock-Hardwood Forest,18,26.21702812
Pine-Hemlock-Hardwood Forest,19,22.70170746
Pine-Hemlock-Hardwood Forest,20,11.39988759
Pine-Hemlock-Hardwood Forest,21,0
Pine-Hemlock-Hardwood Forest,22,0
Pine-Hemlock-Hardwood Forest,23,0
Pine-Hemlock-Hardwood Forest,24,0
Pine-Hemlock-Hardwood Forest,25,0
Alkaline Conifer-Hardwood Swamp,0,0
Alkaline Conifer-Hardwood Swamp,1,0
Alkaline Conifer-Hardwood Swamp,2,0
Alkaline Conifer-Hardwood Swamp,3,0
Alkaline Conifer-Hardwood Swamp,4,0.000425954
Alkaline Conifer-Hardwood Swamp,5,0.000851908
Alkaline Conifer-Hardwood Swamp,6,0.005111451
Alkaline Conifer-Hardwood Swamp,7,0.014482444
Alkaline Conifer-Hardwood Swamp,8,0.032798477
Alkaline Conifer-Hardwood Swamp,9,0.100525202
Alkaline Conifer-Hardwood Swamp,10,0.331818356
Alkaline Conifer-Hardwood Swamp,11,0.987787892
Alkaline Conifer-Hardwood Swamp,12,2.427939191
Alkaline Conifer-Hardwood Swamp,13,5.91054109
Alkaline Conifer-Hardwood Swamp,14,12.51112805
Alkaline Conifer-Hardwood Swamp,15,19.52957613
Alkaline Conifer-Hardwood Swamp,16,22.6177444
Alkaline Conifer-Hardwood Swamp,17,18.8484753
Alkaline Conifer-Hardwood Swamp,18,11.07651416
Alkaline Conifer-Hardwood Swamp,19,5.604279988
Alkaline Conifer-Hardwood Swamp,20,0
Alkaline Conifer-Hardwood Swamp,21,0
Alkaline Conifer-Hardwood Swamp,22,0
Alkaline Conifer-Hardwood Swamp,23,0
Alkaline Conifer-Hardwood Swamp,24,0
Alkaline Conifer-Hardwood Swamp,25,0
Conifer Acidic Swamp and Treed Poor Fen,0,0
Conifer Acidic Swamp and Treed Poor Fen,1,0
Conifer Acidic Swamp and Treed Poor Fen,2,0.000498204
Conifer Acidic Swamp and Treed Poor Fen,3,0.000996408
Conifer Acidic Swamp and Treed Poor Fen,4,0.00747306
Conifer Acidic Swamp and Treed Poor Fen,5,0.029394035
Conifer Acidic Swamp and Treed Poor Fen,6,0.084196472
Conifer Acidic Swamp and Treed Poor Fen,7,0.187324694
Conifer Acidic Swamp and Treed Poor Fen,8,0.469806348
Conifer Acidic Swamp and Treed Poor Fen,9,1.219105126
Conifer Acidic Swamp and Treed Poor Fen,10,2.602617564
Conifer Acidic Swamp and Treed Poor Fen,11,4.696070665
Conifer Acidic Swamp and Treed Poor Fen,12,8.664763527
Conifer Acidic Swamp and Treed Poor Fen,13,15.77313784
Conifer Acidic Swamp and Treed Poor Fen,14,21.71671126
Conifer Acidic Swamp and Treed Poor Fen,15,20.37803718
Conifer Acidic Swamp and Treed Poor Fen,16,13.47641751
Conifer Acidic Swamp and Treed Poor Fen,17,10.69345011
Conifer Acidic Swamp and Treed Poor Fen,18,0
Conifer Acidic Swamp and Treed Poor Fen,19,0
Conifer Acidic Swamp and Treed Poor Fen,20,0
Conifer Acidic Swamp and Treed Poor Fen,21,0
Conifer Acidic Swamp and Treed Poor Fen,22,0
Conifer Acidic Swamp and Treed Poor Fen,23,0
Conifer Acidic Swamp and Treed Poor Fen,24,0
Conifer Acidic Swamp and Treed Poor Fen,25,0
Mesic Balsam Fir-Spruce Forest,0,0
Mesic Balsam Fir-Spruce Forest,1,0
Mesic Balsam Fir-Spruce Forest,2,0.001206804
Mesic Balsam Fir-Spruce Forest,3,0.001810206
Mesic Balsam Fir-Spruce Forest,4,0.004223814
Mesic Balsam Fir-Spruce Forest,5,0.010861236
Mesic Balsam Fir-Spruce Forest,6,0.048272158
Mesic Balsam Fir-Spruce Forest,7,0.036204119
Mesic Balsam Fir-Spruce Forest,8,0.088700091
Mesic Balsam Fir-Spruce Forest,9,0.241360792
Mesic Balsam Fir-Spruce Forest,10,0.595557755
Mesic Balsam Fir-Spruce Forest,11,1.293090444
Mesic Balsam Fir-Spruce Forest,12,2.704447676
Mesic Balsam Fir-Spruce Forest,13,5.381138861
Mesic Balsam Fir-Spruce Forest,14,10.21740573
Mesic Balsam Fir-Spruce Forest,15,16.22909966
Mesic Balsam Fir-Spruce Forest,16,20.43903528
Mesic Balsam Fir-Spruce Forest,17,20.12285264
Mesic Balsam Fir-Spruce Forest,18,13.48241385
Mesic Balsam Fir-Spruce Forest,19,9.102318874
Mesic Balsam Fir-Spruce Forest,20,0
Mesic Balsam Fir-Spruce Forest,21,0
Mesic Balsam Fir-Spruce Forest,22,0
Mesic Balsam Fir-Spruce Forest,23,0
Mesic Balsam Fir-Spruce Forest,24,0
Mesic Balsam Fir-Spruce Forest,25,0
